Age,Gender_Male,Marital Status_Married,Family size,Output_Yes,Feedback_Negative ,Occupation_Employee,Occupation_House wife,Occupation_Self Employeed,Occupation_Student
26,1,0,1,0,0,0,0,1,0
22,1,0,2,1,0,0,0,0,1
24,0,0,3,1,0,0,0,0,1
23,1,0,1,1,0,0,0,0,1
25,1,0,1,1,0,0,0,0,1
23,0,0,5,1,0,0,0,0,1
23,0,0,5,1,0,0,0,0,1
26,1,1,5,0,0,1,0,0,0
32,0,1,3,0,0,0,1,0,0
24,0,0,3,0,0,0,0,0,1
23,1,0,2,1,0,0,0,0,1
22,0,0,3,1,0,1,0,0,0
24,0,0,3,1,0,0,0,0,1
26,1,0,2,1,1,1,0,0,0
28,1,1,3,0,0,1,0,0,0
26,1,0,2,0,0,1,0,0,0
25,1,0,1,1,0,0,0,0,1
25,1,0,2,0,0,1,0,0,0
18,1,0,5,1,0,0,0,0,1
21,1,0,4,1,0,0,0,0,1
25,1,0,1,1,0,0,0,0,1
25,1,0,2,1,0,0,0,0,1
23,0,0,5,1,0,0,0,0,1
23,1,0,2,1,0,1,0,0,0
25,0,1,4,0,1,1,0,0,0
31,0,1,5,1,0,0,1,0,0
24,1,0,2,0,0,0,0,1,0
32,0,1,5,1,0,1,0,0,0
25,1,0,3,1,0,1,0,0,0
27,0,1,5,0,0,0,0,1,0
26,1,0,3,1,0,0,0,1,0
26,0,0,3,1,0,0,0,1,0
32,1,1,5,1,1,1,0,0,0
24,1,1,6,0,1,0,0,1,0
27,0,1,3,1,0,0,0,1,0
23,1,0,3,1,0,0,0,0,1
25,1,0,4,1,0,0,0,0,1
23,1,0,3,1,0,0,0,0,1
23,0,0,4,1,0,0,0,0,1
28,1,1,3,1,0,1,0,0,0
32,0,1,1,0,0,1,0,0,0
23,1,0,2,1,0,0,0,0,1
19,1,0,2,0,1,0,0,0,1
19,0,0,4,1,0,0,0,0,1
27,0,1,2,0,0,1,0,0,0
25,1,0,3,1,0,0,0,1,0
33,1,1,5,0,1,1,0,0,0
26,0,0,3,1,0,1,0,0,0
22,0,0,4,1,0,0,0,0,1
23,1,0,3,0,0,0,0,0,1
22,0,0,3,1,1,0,0,0,1
25,1,1,2,1,0,1,0,0,0
30,0,1,5,1,0,0,1,0,0
24,1,0,3,0,1,0,0,0,1
25,1,0,3,1,0,1,0,0,0
23,1,0,3,1,0,0,0,0,1
24,0,0,4,1,0,0,0,0,1
32,1,1,4,1,0,1,0,0,0
22,1,0,4,1,0,0,0,0,1
23,1,0,3,1,0,0,0,0,1
23,0,0,4,1,0,0,0,0,1
20,1,0,2,1,0,0,0,0,1
21,1,0,2,1,0,0,0,0,1
24,0,1,5,1,0,0,0,1,0
23,0,0,4,1,0,0,0,0,1
25,1,0,3,1,0,1,0,0,0
32,0,1,3,1,0,0,1,0,0
27,1,1,5,0,1,1,0,0,0
20,0,0,2,1,0,0,0,0,1
21,1,0,2,1,0,0,0,0,1
26,1,0,3,0,1,1,0,0,0
25,1,0,4,1,0,1,0,0,0
26,1,0,3,1,0,1,0,0,0
26,0,1,3,1,0,1,0,0,0
27,1,0,4,0,0,1,0,0,0
27,0,0,5,0,1,0,0,0,1
24,0,0,5,1,0,0,0,0,1
25,1,1,2,1,0,0,0,1,0
20,1,0,2,0,1,0,0,0,1
22,1,0,1,1,0,0,0,0,1
26,0,1,3,1,0,0,0,0,1
27,1,0,1,1,0,1,0,0,0
25,0,0,3,1,0,0,0,0,1
24,1,0,2,1,0,1,0,0,0
23,0,0,6,1,0,1,0,0,0
22,1,0,2,0,0,0,0,0,1
26,1,1,3,0,1,0,0,1,0
26,1,0,1,1,1,1,0,0,0
25,0,1,3,0,0,0,0,1,0
29,0,1,3,0,0,1,0,0,0
23,1,0,3,1,1,0,0,0,1
22,0,0,4,1,0,1,0,0,0
22,1,0,2,0,0,0,0,0,1
32,0,1,5,1,0,0,1,0,0
28,1,1,1,1,0,1,0,0,0
22,1,0,2,1,0,0,0,0,1
25,1,0,2,1,0,1,0,0,0
26,0,1,2,0,1,1,0,0,0
31,1,1,6,1,0,0,0,1,0
24,1,0,3,0,1,0,0,0,1
24,1,0,2,1,0,1,0,0,0
31,0,1,5,1,0,1,0,0,0
26,1,0,2,1,0,1,0,0,0
24,0,1,2,1,0,0,0,1,0
22,0,0,3,1,0,0,0,0,1
19,1,0,6,1,0,0,0,0,1
25,1,1,6,1,0,1,0,0,0
23,0,1,6,1,0,0,1,0,0
23,0,0,2,0,1,0,0,0,1
23,1,0,2,1,0,0,0,0,1
24,1,0,5,1,0,0,0,0,1
22,0,0,4,1,0,1,0,0,0
26,1,1,4,1,0,1,0,0,0
25,0,0,3,1,0,0,0,0,1
20,1,0,2,1,0,0,0,0,1
29,1,1,4,0,1,1,0,0,0
23,0,0,1,1,0,0,0,0,1
25,1,0,2,1,0,0,0,1,0
29,0,1,4,0,1,1,0,0,0
27,1,1,6,0,1,0,0,1,0
25,1,0,3,1,0,0,0,1,0
21,1,0,2,0,1,0,0,0,1
23,1,0,3,1,0,0,0,0,1
24,0,0,4,1,0,1,0,0,0
32,1,1,3,1,1,0,0,1,0
28,1,1,5,1,0,1,0,0,0
26,1,0,2,0,1,1,0,0,0
31,0,1,5,1,0,0,1,0,0
27,0,1,3,1,0,0,0,1,0
21,0,0,1,1,0,0,0,0,1
23,0,0,2,0,0,0,0,0,1
26,1,1,4,0,0,1,0,0,0
32,1,1,5,1,0,1,0,0,0
25,0,1,2,1,0,0,0,0,1
28,1,0,2,1,0,0,0,1,0
21,0,0,3,1,0,0,0,0,1
24,1,0,2,1,0,0,0,0,1
26,0,1,5,0,1,0,0,1,0
32,1,1,3,1,0,1,0,0,0
29,1,0,6,1,0,0,0,1,0
21,1,0,5,1,0,0,0,0,1
24,0,0,3,0,1,0,0,1,0
26,1,0,2,1,0,0,0,1,0
25,1,1,3,1,0,1,0,0,0
29,1,0,3,0,1,1,0,0,0
22,1,0,3,1,0,0,0,0,1
24,1,0,2,1,0,0,0,0,1
27,1,1,2,1,0,1,0,0,0
23,0,0,3,0,0,0,0,0,1
32,1,1,6,1,0,1,0,0,0
22,0,0,2,1,0,0,0,0,1
28,1,1,3,1,0,1,0,0,0
23,0,0,2,1,0,0,0,0,1
30,1,1,1,0,1,0,0,1,0
21,1,0,3,1,0,0,0,0,1
26,0,1,6,0,1,1,0,0,0
25,1,0,3,1,0,0,0,1,0
31,1,0,1,0,1,1,0,0,0
23,0,0,2,1,0,1,0,0,0
29,0,1,3,1,0,1,0,0,0
21,1,0,6,1,0,0,0,0,1
20,1,0,3,1,0,0,0,0,1
22,1,0,2,1,0,1,0,0,0
30,0,1,6,0,0,0,1,0,0
27,1,1,3,1,0,0,0,1,0
23,1,0,2,0,1,0,0,0,1
30,1,1,6,0,1,0,0,1,0
23,1,0,3,1,0,0,0,0,1
28,0,1,6,0,1,1,0,0,0
30,1,1,6,1,0,0,0,1,0
24,0,1,2,1,1,1,0,0,0
21,1,0,2,0,1,0,0,0,1
23,0,0,3,0,1,1,0,0,0
25,1,1,4,1,0,0,0,1,0
24,0,0,2,1,0,1,0,0,0
26,1,1,3,0,1,1,0,0,0
25,0,0,2,1,0,1,0,0,0
22,1,0,3,1,0,0,0,0,1
26,0,0,2,1,0,1,0,0,0
23,1,0,2,1,0,1,0,0,0
21,0,0,2,0,1,1,0,0,0
25,1,1,3,1,0,0,0,1,0
24,0,1,2,1,0,1,0,0,0
22,1,1,2,1,0,0,0,0,1
23,0,0,4,1,0,0,0,0,1
24,1,1,3,1,0,1,0,0,0
22,0,0,2,1,0,0,0,0,1
30,1,1,5,0,1,1,0,0,0
23,0,0,4,1,0,1,0,0,0
19,1,0,6,1,0,0,0,0,1
21,0,0,2,1,0,0,0,0,1
23,1,0,4,1,0,0,0,0,1
24,0,0,3,1,0,1,0,0,0
26,0,1,2,0,0,1,0,0,0
26,0,0,2,1,0,0,0,0,1
25,0,0,2,1,0,0,0,0,1
28,0,1,5,0,1,1,0,0,0
25,0,0,3,1,0,0,0,0,1
20,0,0,2,1,0,0,0,0,1
27,0,1,6,0,0,0,0,1,0
25,0,1,3,0,0,1,0,0,0
24,0,0,5,0,1,0,0,0,1
25,0,1,1,0,1,1,0,0,0
25,0,0,3,0,1,1,0,0,0
24,0,1,5,1,0,0,0,0,1
24,1,0,3,1,0,0,0,0,1
22,1,0,1,1,0,1,0,0,0
28,1,0,2,0,1,1,0,0,0
25,0,0,6,0,1,1,0,0,0
22,1,0,3,1,1,0,0,0,1
22,0,0,6,1,0,0,0,0,1
22,1,0,4,1,0,0,0,0,1
27,0,1,2,1,0,1,0,0,0
22,1,0,3,1,0,0,0,0,1
24,0,0,3,1,0,0,0,0,1
23,0,0,2,1,0,0,0,0,1
23,0,0,4,1,0,0,0,0,1
22,0,0,5,1,0,0,0,0,1
23,1,0,2,1,1,0,0,0,1
32,1,1,5,1,0,1,0,0,0
25,0,1,2,1,0,0,0,0,1
28,1,0,2,1,0,0,0,1,0
21,0,0,3,1,0,0,0,0,1
24,1,0,2,1,0,0,0,0,1
26,0,1,5,0,1,0,0,1,0
32,1,1,3,1,0,1,0,0,0
29,1,0,6,1,0,0,0,1,0
21,1,0,5,1,0,0,0,0,1
24,0,0,3,0,1,0,0,1,0
26,1,0,2,1,0,0,0,1,0
21,1,1,3,1,0,1,0,0,0
29,1,0,3,0,1,1,0,0,0
22,1,0,3,1,0,0,0,0,1
24,1,0,2,1,0,0,0,0,1
27,1,1,2,1,0,1,0,0,0
23,0,0,3,0,0,0,0,0,1
32,1,1,6,1,0,1,0,0,0
22,0,0,2,1,0,0,0,0,1
22,0,0,4,1,0,1,0,0,0
26,1,1,4,1,0,1,0,0,0
25,0,0,3,1,0,0,0,0,1
20,1,0,2,1,0,0,0,0,1
29,1,1,4,0,1,1,0,0,0
23,0,0,1,1,0,0,0,0,1
25,1,0,2,1,0,0,0,1,0
29,0,1,4,0,1,1,0,0,0
27,1,1,6,0,0,0,0,1,0
25,1,0,3,1,0,0,0,1,0
21,1,0,2,0,1,0,0,0,1
23,1,0,3,1,0,0,0,0,1
24,0,0,4,1,0,1,0,0,0
22,1,1,3,1,1,0,0,1,0
28,1,1,5,1,0,1,0,0,0
26,1,0,2,0,1,1,0,0,0
22,0,0,4,1,0,1,0,0,0
26,1,1,4,1,0,1,0,0,0
25,0,0,3,1,0,0,0,0,1
20,1,0,2,1,0,0,0,0,1
29,1,1,4,0,1,1,0,0,0
23,0,0,1,1,0,0,0,0,1
25,1,0,2,1,0,0,0,1,0
29,0,1,4,0,0,1,0,0,0
27,1,1,6,0,0,0,0,1,0
25,1,0,3,1,0,0,0,1,0
21,1,0,2,0,0,0,0,0,1
24,1,0,2,1,0,0,0,0,1
26,0,1,5,0,1,0,0,1,0
32,1,1,3,1,0,1,0,0,0
29,1,0,6,1,0,0,0,1,0
21,1,0,5,1,0,0,0,0,1
24,0,0,3,0,1,0,0,1,0
26,1,0,2,1,0,0,0,1,0
31,1,1,3,1,0,1,0,0,0
29,1,0,3,0,1,1,0,0,0
22,1,0,3,1,0,0,0,0,1
24,1,0,2,1,0,0,0,0,1
27,1,1,2,1,0,1,0,0,0
23,0,0,3,0,0,0,0,0,1
30,1,1,6,1,0,1,0,0,0
22,0,0,2,1,0,0,0,0,1
28,1,1,3,1,0,1,0,0,0
23,0,0,2,1,0,0,0,0,1
30,1,1,1,0,1,0,0,1,0
21,1,0,3,1,1,0,0,0,1
26,0,1,6,0,1,1,0,0,0
25,1,0,3,1,0,0,0,1,0
31,1,0,1,0,1,1,0,0,0
23,0,0,2,1,0,1,0,0,0
22,1,0,4,1,0,0,0,0,1
27,0,1,2,1,0,1,0,0,0
22,1,0,3,1,0,0,0,0,1
24,0,0,3,1,0,0,0,0,1
23,0,0,2,1,0,0,0,0,1
23,0,0,4,1,0,0,0,0,1
22,0,0,5,1,0,0,0,0,1
23,1,0,2,1,0,0,0,0,1
23,1,0,5,1,0,0,0,0,1
